system_state_header
Date,Decimal_Hour,Day,Num_Cars,Operating_Speed,Total_Waiting,Total_In_Trains,D_Labrador,D_Quitumbe,Wait_Labrador,Wait_UCentral,Wait_SanFrancisco,Wait_Magdalena,Wait_Recreo,Wait_Quitumbe,Avg_Train_Occupation_Pct
2025-12-02 05:40:00,5.666666666666667,Monday,6,38.0,780,0,1.0,1.0,97,61,51,43,40,50,0.0
2025-12-02 05:50:00,5.833333333333333,Monday,6,38.0,1557,0,1.0,1.0,182,129,99,88,93,120,0.0
2025-12-02 06:00:00,6.0,Monday,6,38.0,2202,0,1.0,1.0,263,185,132,130,152,177,0.0
2025-12-02 06:10:00,6.166666666666667,Monday,6,38.0,2754,0,1.0,1.0,361,234,176,175,206,230,0.0
2025-12-02 06:20:00,6.333333333333333,Monday,6,38.0,3190,0,1.0,1.0,450,281,232,221,263,287,0.0
2025-12-02 06:30:00,6.5,Monday,6,38.0,3492,0,1.0,1.0,450,320,283,269,323,341,0.0
2025-12-02 06:40:00,6.666666666666667,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 06:50:00,6.833333333333333,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 07:00:00,7.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 07:10:00,7.166666666666667,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 07:20:00,7.333333333333333,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 07:30:00,7.5,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 07:40:00,7.666666666666667,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 07:50:00,7.833333333333333,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
2025-12-02 08:00:00,8.0,Monday,6,38.0,3950,0,1.0,1.0,450,320,350,300,400,500,0.0
